type,event_type,startedAt,duration,cause,cpu_user,cpu_kernel,cpu_wallClock,heap_occupancy_before_coll,heap_occupancy_after_coll,heap_size_before_coll,heap_size_after_coll,perm_or_meta_occupancy_before_coll,perm_or_meta_occupancy_after_coll,perm_or_meta_size_before_coll,perm_or_meta_size_after_coll
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:44:43.552+02:00@2188889.065,0.001583,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:44:43.552+02:00@2188889.065,0.001538,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:44:49.158+02:00@2188894.671,0.006322,G1_EVACUATION_PAUSE,0.02,0.0,0.0,759808,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:55.117+02:00@2188900.630,0.005831,G1_EVACUATION_PAUSE,0.01,0.0,0.0,746496,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:00.780+02:00@2188906.293,0.006927,G1_EVACUATION_PAUSE,0.01,0.0,0.0,755712,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:07.329+02:00@2188912.843,0.007078999999999999,G1_EVACUATION_PAUSE,0.01,0.0,0.01,768000,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:13.272+02:00@2188918.785,0.007113,G1_EVACUATION_PAUSE,0.01,0.0,0.01,761856,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:19.851+02:00@2188925.364,0.007745,G1_EVACUATION_PAUSE,0.02,0.0,0.01,758784,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:24.828+02:00@2188930.341,0.006889,G1_EVACUATION_PAUSE,0.01,0.0,0.01,752640,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:29.909+02:00@2188935.423,0.0064080000000000005,G1_EVACUATION_PAUSE,0.01,0.0,0.0,761856,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:36.131+02:00@2188941.644,0.009798999999999999,G1_EVACUATION_PAUSE,0.01,0.01,0.01,759808,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:43.007+02:00@2188948.520,0.00597,G1_EVACUATION_PAUSE,0.01,0.0,0.01,743424,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:48.734+02:00@2188954.247,0.006674,G1_EVACUATION_PAUSE,0.01,0.0,0.01,740352,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:54.367+02:00@2188959.880,0.005829,G1_EVACUATION_PAUSE,0.01,0.0,0.01,741376,185344,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:45:59.717+02:00@2188965.230,0.006279,G1_EVACUATION_PAUSE,0.01,0.0,0.0,735232,184320,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:46:04.587+02:00@2188970.100,0.005916,G1_EVACUATION_PAUSE,0.01,0.01,0.01,743424,185344,921600,921600,111841,111841,112576,112576
